Index,Sort order,GeneID,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
12940,154,SEC11C,110,38,6.2,1.5,1.5,0,0,yes,2,1,1
12970,325,SELENBP1,42,8,4.6,2.4,2.4,0,0,yes,1,1,1
12972,108,SELENOI,90,43,6.1,1.1,1.1,0,0.01,yes,2,1,1
12976,196,SELENOP,15680,4042,13.3,2,2,0,0,yes,2,1,1
12986,118,SEMA4A,93,195,7.2,-1.1,1.1,0.01,0.05,yes,2,1,1
12988,112,SEMA4C,39,85,6,-1.1,1.1,0,0,yes,2,1,1
12989,191,SEMA4D,14,52,5,-1.9,1.9,0,0,yes,2,1,1
12990,250,SEMA4G,17,3,3.3,2.5,2.5,0,0.02,yes,1,1,1
13042,105,SESN3,51,24,5.2,1,1,0,0.03,yes,2,1,1
13052,145,SETD7,691,254,8.9,1.4,1.4,0,0,yes,2,1,1
13055,127,SETX,129,258,7.6,-1,1,0,0.02,yes,2,1,1
13066,182,SFMBT1,9,25,4.1,-1.5,1.5,0,0.01,yes,1,1,1
13081,289,SFXN3,1647,222,9.9,2.9,2.9,0,0,yes,2,1,1
13084,224,SGCB,284,809,9.1,-1.5,1.5,0,0,yes,2,1,1
13109,126,SH2D3C,88,211,7.2,-1.3,1.3,0,0,yes,2,1,1
13110,269,SH2D4A,42,6,4.6,2.7,2.7,0,0,yes,1,1,1
13129,105,SH3RF1,277,571,8.7,-1,1,0,0,yes,2,1,1
13171,168,SIAH2,49,137,6.5,-1.5,1.5,0,0.01,yes,2,1,1
13178,147,SIGMAR1,178,494,8.4,-1.5,1.5,0,0,yes,2,1,1
13203,158,SKAP1,86,191,7.1,-1.1,1.1,0,0.03,yes,2,1,1
13211,113,SKP2,1143,522,9.7,1.1,1.1,0,0,yes,2,1,1
13226,113,SLC12A9,120,241,7.5,-1,1,0.01,0.04,yes,2,1,1
13237,138,SLC16A10,12,26,4.2,-1.1,1.1,0.01,0.05,yes,2,1,1
13242,501,SLC16A4,1,11,2.6,-3.2,3.2,0.01,0.04,yes,1,1,1
13266,307,SLC22A18,105,12,5.9,3.1,3.1,0,0,yes,2,1,1
13298,236,SLC25A29,20,54,5.2,-1.4,1.4,0,0.01,yes,2,1,1
13323,195,SLC26A5,67,169,6.9,-1.3,1.3,0,0,yes,2,1,1
13341,143,SLC2A6,82,179,7,-1.1,1.1,0.01,0.04,yes,2,1,1
13346,163,SLC30A4,297,101,7.6,1.6,1.6,0,0,yes,2,1,1
13369,169,SLC35D2,26,8,4.1,1.7,1.7,0,0,yes,1,1,1
