"","x"
"887","LOC102040639"
"888","LOC102040752"
"889","LOC102040852"
"890","LOC102040925"
"891","LOC102041009"
"892","LOC102041126"
"893","LOC102041128"
"894","LOC102041144"
"895","LOC102041182"
"896","LOC102041244"
"897","LOC102041457"
"898","LOC102041497"
"899","LOC102041632"
"900","LOC102041757"
"901","LOC102041770"
"902","LOC102041802"
"903","LOC102041839"
"904","LOC102042167"
"905","LOC102042210"
"906","LOC102042224"
"907","LOC102042286"
"908","LOC102042359"
"909","LOC102042373"
"910","LOC102042414"
"911","LOC102042456"
"912","LOC102042513"
"913","LOC102042536"
"914","LOC102042633"
"915","LOC102042702"
"916","LOC102042760"
"917","LOC102042762"
"918","LOC102042767"
"919","LOC102042836"
"920","LOC102042945"
"921","LOC102042972"
"922","LOC102043039"
"923","LOC102043042"
"924","LOC102043122"
"925","LOC102043150"
"926","LOC102043157"
"927","LOC102043159"
"928","LOC102043184"
"929","LOC102043201"
"930","LOC102043261"
"931","LOC102043273"
"932","LOC102043293"
"933","LOC102043323"
"934","LOC102043453"
"935","LOC102043556"
"936","LOC102043566"
"937","LOC102043645"
"938","LOC102043690"
"939","LOC102043904"
"940","LOC102043912"
"941","LOC102043923"
"942","LOC102044091"
"943","LOC102044095"
"944","LOC102044167"
"945","LOC102044181"
"946","LOC102044263"
"947","LOC102044312"
"948","LOC102044598"
"949","LOC102044661"
"950","LOC102044665"
"951","LOC102044669"
"952","LOC102044702"
"953","LOC102044706"
"954","LOC102044709"
"955","LOC102044753"
"956","LOC102044810"
"957","LOC102044823"
"958","LOC102044836"
"959","LOC102044943"
"960","LOC102044951"
"961","LOC102044982"
"962","LOC102045016"
"963","LOC102045027"
"964","LOC102045060"
"965","LOC102045086"
"966","LOC102045094"
"967","LOC102045107"
"968","LOC102045138"
"969","LOC102045150"
"970","LOC102045171"
"971","LOC102045296"
"972","LOC102045328"
"973","LOC102045348"
"974","LOC102045350"
"975","LOC102045387"
"976","LOC102045458"
"977","LOC102045499"
"978","LOC102045590"
"979","LOC102045602"
"980","LOC102045605"
"981","LOC102045634"
"982","LOC102045650"
"983","LOC106631826"
"984","LOC106631848"
"985","LOC106631862"
"986","LOC106631917"
"987","LOC106631969"
"988","LOC106631975"
"989","LOC106631983"
"990","LOC106631985"
"991","LOC106631992"
"992","LOC106631993"
"993","LOC106632022"
"994","LOC106632031"
"995","LOC106632034"
"996","LOC106632080"
"997","LOC106632107"
"998","LOC106632129"
"999","LOC106632133"
"1000","LOC106632165"
"1001","LOC106632187"
"1002","LOC106632191"
"1003","LOC106632194"
"1004","LOC106632197"
"1005","LOC106632211"
"1006","LOC106632250"
"1007","LOC115947641"
"1008","LOC115947654"
"1009","LOC115947675"
"1010","LOC115947716"
"1011","LOC115947741"
"1012","LOC115947749"
"1013","LOC115947763"
"1014","LOC115947776"
"1015","LOC115947780"
"1016","LOC115947793"
"1017","LOC115947796"
"1018","LOC115947815"
"1019","LOC115947830"
"1020","LOC115947831"
"1021","LOC115947844"
"1022","LOC115947847"
"1023","LOC115947853"
"1024","LOC115947884"
"1025","LOC115947885"
"1026","LOC115947894"
"1027","LOC115947897"
"1028","LOC115947898"
"1029","LOC115947899"
"1030","LOC115947905"
"1031","LOC115947910"
"1032","LOC115947921"
"1033","LOC115947922"
"1034","LOC115947934"
"1035","LOC115947941"
"1036","LOC115947955"
"1037","LOC115947972"
"1038","LOC115947979"
"1039","LOC115947981"
"1040","LOC115947986"
"1041","LOC115948008"
"1042","LOC115948032"
"1043","LOC115948081"
"1044","LOC115948125"
"1045","LOC115948128"
"1046","LOC115948148"
"1047","LOC115948153"
"1048","LOC115948154"
"1049","LOC115948157"
"1050","LOC115948164"
"1051","LOC115948166"
"1052","LOC115948177"
"1053","LOC115948210"
"1054","LOC115948213"
"1055","LOC115948218"
"1056","LOC115948219"
"1057","LOC115948223"
"1058","LOC115948237"
"1059","LOC115948238"
"1060","LOC115948240"
"1061","LOC115948250"
"1062","LOC115948266"
"1063","LOC115948293"
"1064","LOC115948301"
"1065","LOC115948314"
"1066","LOC115948326"
"1067","LOC115948364"
"1068","LOC115948385"
"1069","LOC115948407"
"1070","LOC115948414"
"1071","LOC115948430"
"1072","LOC115948440"
"1073","LOC115948453"
"1074","LOC115948486"
"1075","LOC115948506"
"1076","LOC115948515"
"1077","LOC115948517"
"1078","LOC115948552"
"1079","LOC115948554"
"1080","LOC115948567"
"1081","LOC115948580"
"1082","LOC115948593"
"1083","LOC115948595"
"1084","LOC115948628"
"1085","LOC115948645"
"1086","LOC115948647"
"1087","LOC115948648"
"1088","LOC115948661"
"1089","LOC115948700"
"1090","LOC115948735"
"1091","LOC115948751"
"1092","LOC115948756"
"1093","LOC115948761"
"1094","LOC115948763"
"1095","LOC115948769"
"1096","LOC115948783"
"1097","LOC115948789"
"1098","LOC115948805"
"1099","LOC115948806"
"1100","LOC115948825"
"1101","LOC115948850"
"1102","LOC115948872"
"1103","LOC115948873"
"1104","LOC115948884"
"1105","LOC115948904"
"1106","LOC115948923"
"1107","LOC115948974"
"1108","LOC115948996"
"1109","LOC115949009"
"1110","LOC115949030"
"1111","LOC115949035"
"1112","LOC115949040"
"1113","LOC115949056"
"1114","LOC115949057"
"1115","LOC115949070"
"1116","LOC115949073"
"1117","LOC115949077"
"1118","LOC115949135"
"1119","LOC115949147"
"1120","LOC115949163"
"1121","LOC115949164"
"1122","LOC115949175"
"1123","LOC115949194"
"1124","LOC115949199"
"1125","LOC115949219"
"1126","LOC115949237"
"1127","LOC115949243"
"1128","LOC115949244"
"1129","LOC115949253"
"1130","LOC115949257"
"1131","LOC115949282"
"1132","LOC115949283"
"1133","LOC115949284"
"1134","LOC115949285"
"1135","LOC115949295"
"1136","LOC115949296"
"1137","LOC115949297"
"1138","LOC115949306"
"1139","LOC115949315"
"1140","LOC115949321"
"1141","LOC115949325"
"1142","LOC115949332"
"1143","LOC115949350"
"1144","LOC115949354"
"1145","LOC115949362"
"1146","LOC115949367"
"1147","LOC115949379"
"1148","LOC115949396"
"1149","LOC115949406"
"1150","LOC115949412"
"1151","LOC115949436"
"1152","LOC115949438"
"1153","LOC115949440"
"1154","LOC115949444"
"1155","LOC115949447"
"1156","LOC115949452"
"1157","LOC115949475"
"1158","LOC115949481"
"1159","LOC115949482"
"1160","LOC115949502"
"1161","LOC115949507"
"1162","LOC115949509"
"1163","LOC115949517"
"1164","LOC115949558"
"1165","LOC115949570"
"1166","LONP1"
"1167","LOX"
"1168","LOXL2"
"1169","LPAR4"
"1170","LPCAT1"
"1171","LPCAT2"
"1172","LRAT"
"1173","LRCH1"
"1174","LRMDA"
"1175","LRP1"
"1176","LRP3"
"1177","LRP4"
"1178","LRP5"
"1179","LRPAP1"
"1180","LRRC23"
"1181","LRRC28"
